numero,fecha,precio
685,2015.427397260274,224.7
686,2015.4301369863015,223.5
687,2015.4328767123288,228.6
688,2015.4356164383562,229.6
689,2015.4383561643835,228.8
690,2015.441095890411,229.9
691,2015.4438356164383,230.5
692,2015.4465753424658,232.5
693,2015.4493150684932,233.8
694,2015.4520547945206,237.0
695,2015.454794520548,249.8
696,2015.4575342465753,247.4
697,2015.4602739726026,248.4
698,2015.4630136986302,244.1
699,2015.4657534246576,245.0
700,2015.468493150685,244.1
701,2015.4712328767123,247.5
702,2015.4739726027397,243.8
703,2015.4767123287672,240.6
704,2015.4794520547946,242.6
705,2015.482191780822,242.9
706,2015.4849315068493,250.7
707,2015.4876712328767,248.9
708,2015.490410958904,257.0
709,2015.4931506849316,264.1
710,2015.495890410959,257.6
711,2015.4986301369863,254.9
712,2015.5013698630137,255.4
713,2015.504109589041,260.5
714,2015.5068493150684,270.1
715,2015.509589041096,269.1
716,2015.5123287671233,266.2
717,2015.5150684931507,268.6
718,2015.517808219178,269.1
719,2015.5205479452054,283.6
720,2015.5232876712328,292.0
721,2015.5260273972603,310.4
722,2015.5287671232877,290.4
723,2015.531506849315,287.0
724,2015.5342465753424,283.4
725,2015.5369863013698,276.6
726,2015.5397260273974,279.6
727,2015.5424657534247,274.0
728,2015.545205479452,273.2
729,2015.5479452054794,277.7
730,2015.5506849315068,275.1
731,2015.5534246575342,276.5
732,2015.5561643835617,275.5
733,2015.558904109589,288.4
734,2015.5616438356165,288.7
735,2015.5643835616438,291.8
736,2015.5671232876712,293.0
737,2015.5698630136985,293.7
738,2015.572602739726,288.4
739,2015.5753424657535,287.0
740,2015.5780821917808,283.7
741,2015.5808219178082,280.5
742,2015.5835616438355,281.4
743,2015.5863013698631,281.6
744,2015.5890410958905,284.3
745,2015.5917808219178,281.7
746,2015.5945205479452,278.0
747,2015.5972602739726,277.9
748,2015.6,258.6
749,2015.6027397260275,263.9
750,2015.6054794520549,263.3
751,2015.6082191780822,269.0
752,2015.6109589041096,267.7
753,2015.613698630137,263.4
754,2015.6164383561643,265.0
755,2015.6191780821919,260.5
756,2015.6219178082192,257.1
757,2015.6246575342466,257.1
758,2015.627397260274,246.7
759,2015.6301369863013,226.0
760,2015.6328767123289,234.7
761,2015.6356164383562,232.4
762,2015.6383561643836,229.5
763,2015.641095890411,226.8
764,2015.6438356164383,211.4
765,2015.6465753424657,220.5
766,2015.6493150684933,225.0
767,2015.6520547945206,222.7
768,2015.654794520548,231.6
769,2015.6575342465753,228.5
770,2015.6602739726027,228.4
771,2015.66301369863,229.5
772,2015.6657534246576,227.2
773,2015.668493150685,228.6
774,2015.6712328767123,226.2
775,2015.6739726027397,230.3
776,2015.676712328767,233.7
777,2015.6794520547944,239.9
778,2015.682191780822,239.6
779,2015.6849315068494,243.2
780,2015.6876712328767,237.4
781,2015.690410958904,238.1
782,2015.6931506849314,239.9
783,2015.695890410959,235.6
784,2015.6986301369864,230.2
785,2015.7013698630137,229.9
786,2015.704109589041,229.5
787,2015.7068493150684,228.6
788,2015.7095890410958,232.7
789,2015.7123287671234,232.2
790,2015.7150684931507,231.1
791,2015.717808219178,231.1
792,2015.7205479452055,226.3
793,2015.7232876712328,230.0
794,2015.7260273972602,229.9
795,2015.7287671232878,233.8
796,2015.731506849315,235.0
797,2015.7342465753425,234.3
798,2015.7369863013698,232.5
799,2015.7397260273972,238.9
800,2015.7424657534248,236.7
801,2015.7452054794521,235.9
802,2015.7479452054795,237.1
803,2015.7506849315068,236.7
804,2015.7534246575342,238.6
805,2015.7561643835616,238.3
806,2015.7589041095891,240.1
